words,sentiment_coeff
wlasnie,-75.00465342690553
adam_badowski,-39.724808102326136
przedstawiciele_spolki,-86.63678273897048
silverhand,-53.408678893841866
publicznej,-49.22754473388828
miala,-95.94698914533859
poinformowal_ze,-80.57690182355658
szef_studia,-82.6628472500857
zaprezentowany,-88.01080303049095
zainteresowanie,-56.498478324862646
spodziewac_sie,-101.2926851401477
najblizsze,-53.83767418482005
przedstawicieli,-59.90625147025309
najwiekszy,-30.006101021827078
szerokiej_publicznosci,-46.797364929089746
maja_byc,-112.20106248442829
w_kinie,-81.34707783997793
fragmenty,-44.185202504413034
podobnie,-41.79446149292028
https_//www,-55.222440938208024
15,-98.93928702848766
pokazy,-93.16454570273588
na_stoisku,-84.3055348836611
przeczytasz_tu,-64.81843762231466
graczy_i,-51.086592146171476
autorskim_calosc,-110.37900116230345
nowego,-21.706943280590796
przedpremierowe,-90.13011705646213
wszyscy,-92.37858254712879
tygodnie,-44.43524359782623
zaprezentuje,-74.51094362781039
trailer,-104.52378043633446
konferencji_microsoftu,-55.432170346558244
wtedy,-100.15639243328957
czerwcowych,-116.436984339474
nastapi,-38.64825420104533
wydatkow_marketingowych,-60.378086884754126
on,-60.751197454064034
to_dobry,-106.5249020107027
dywidendy_z,-75.42437101159099
roku_od,-51.675644746452235
mamy_podpisane,-61.733675746915345
wszystkie_najwazniejsze,-44.07833401278709
kontrakty_dystrybucyjne,-22.823219700065728
cyberpunka_ktore,-90.61155818816736
wplywaja,-94.6662180812072
cash_flow,-101.27848011637981
zobowiazania,-46.05912489106284
naszych,-39.678383446462156
dystrybutorow_do,-94.92895872943181
pokrywania_czesci,-87.80387909485272
nasz_horyzont,-51.589458633210434
mowi_prezes,-47.69508581304188
jest_juz,-60.84578532755892
mozemy,-27.504298941386587
w_miare,-86.35455138749133
precyzyjnie_zaplanowac,-82.6321798384836
wydatki,-46.94519716657239
doszlismy_do,-120.81391882372867
wniosku_ze,-88.2060302559189
mozemy_podzielic,-75.33357115143718
sie_zyskiem,-29.513576282619823
tytul,-67.99324670333937
dodal_ze,-96.58354146008698
o_wprowadzeniu,-27.2334540392054
pozostala_czesc,-60.58814895921299
8,-77.74938720205174
in,-20.59372467886771
